id_empresa,ciudad,latitud,longitud,sector,tamanio,estado,anio_fundacion,antiguedat_anios,num_empleados,ingresos_anual_usd,inv_rd_pct,crecimiento_anual_pct,satisfaccion_empleados
143,Bogotá,-4.711,-74.0721,Salud,Mediana,Activa,2009,15,54,601101.92,22.7,12.2,6.8
144,Bogotá,-4.711,-74.0721,Agro,Pequeña,En riesgo,1971,53,20,42954.57,5.6,-3.9,3.4
145,Montevideo,-34.9033,-56.188,Manufactura,Mediana,Activa,1986,38,89,210874.62,4.7,5.6,6.3
146,Santiago,-33.4489,-70.6693,Tecnología,Pequeña,Estable,2010,14,16,40180.96,16.7,11.5,6.1
147,Manizales,5.0689,-75.5175,Finanzas,Multinacional,En riesgo,1981,43,2254,12237979.93,4.8,-10.9,5.0
148,Cali,3.4516,-76.6319,Retail,Mediana,En crecimiento,2004,20,68,239021.14,4.6,25.6,4.5
149,Santa Marta,11.2469,-74.0515,Retail,Grande,En riesgo,2012,12,285,1767993.45,2.4,-6.6,4.2
150,Bucaramanga,7.088,-73.0836,Finanzas,Pequeña,En crecimiento,1970,54,21,50699.93,3.1,13.7,6.5
151,Pereira,4.8133,-75.6958,Finanzas,Mediana,En crecimiento,2014,10,60,288903.48,3.0,16.0,6.5
152,Manizales,5.0689,-75.5175,Retail,Mediana,Activa,1984,40,86,425995.44,2.5,1.8,6.6
153,Cartagena,10.423,-75.5434,Turismo,Grande,Activa,1995,29,777,1180779.91,3.1,14.4,7.2
154,Bogotá,-4.711,-74.0721,Tecnología,Pequeña,Inactiva,2006,18,13,40315.25,19.4,-26.8,2.9
155,Rio de Janeiro,-22.9068,-43.1729,Retail,Pequeña,En crecimiento,1990,34,22,74501.89,4.8,34.2,6.5
156,Popayán,2.4419,-76.6109,Salud,Multinacional,En crecimiento,2018,6,3138,4884069.96,23.2,22.0,8.7
157,Lima,-12.0464,-77.0428,Turismo,Mediana,En crecimiento,2000,24,90,193189.66,0.1,13.2,6.7
158,Caracas,10.4806,-66.9036,Salud,Pequeña,Estable,1994,30,17,26625.41,17.1,-2.0,6.0
159,Manizales,5.0689,-75.5175,Tecnología,Pequeña,Activa,1992,32,14,76441.71,18.3,8.7,7.5
160,Montevideo,-34.9033,-56.188,Educación,Multinacional,En crecimiento,1993,31,2535,7589935.23,2.5,25.1,8.2
161,Guayaquil,-2.19,-79.897,Agro,Pequeña,Estable,2007,17,12,25925.2,7.7,-3.9,6.2
162,Guayaquil,-2.19,-79.897,Educación,Grande,Activa,1997,27,406,2298758.95,9.3,11.4,3.7
163,Montevideo,-34.9033,-56.188,Salud,Grande,Activa,1990,34,316,1136205.3,17.4,13.0,6.1
164,Lima,-12.0464,-77.0428,Salud,Pequeña,Activa,2023,1,22,32336.09,9.9,4.2,7.4
165,Santa Marta,11.2469,-74.0515,Turismo,Mediana,En crecimiento,2012,12,40,272038.39,2.3,33.8,8.6
166,Medellín,6.2518,-75.5636,Telecomunicaciones,Pequeña,En riesgo,1987,37,18,104729.92,8.8,-15.2,4.4
167,Cali,3.4516,-76.6319,Finanzas,Pequeña,Activa,2005,19,17,41039.78,11.5,2.0,6.6
168,Guayaquil,-2.19,-79.897,Turismo,Grande,Activa,2004,20,441,1999974.72,6.4,-1.2,10.0
169,Cartagena,10.423,-75.5434,Retail,Grande,En crecimiento,2014,10,602,2157618.61,0.1,29.3,7.4
170,Guayaquil,-2.19,-79.897,Turismo,Mediana,Estable,1978,46,71,374435.34,0.1,2.1,7.6
171,Guayaquil,-2.19,-79.897,Salud,Mediana,Estable,2022,2,88,566410.06,15.6,-0.9,5.3
172,Guayaquil,-2.19,-79.897,Educación,Pequeña,En crecimiento,2007,17,7,35109.26,11.3,13.2,6.5
173,Medellín,6.2518,-75.5636,Educación,Pequeña,En riesgo,1999,25,12,29676.5,2.8,-14.3,5.3
174,Medellín,6.2518,-75.5636,Finanzas,Pequeña,Estable,2013,11,21,29386.63,2.2,16.3,8.2
175,Cartagena,10.423,-75.5434,Finanzas,Pequeña,En riesgo,2003,21,8,46515.65,1.7,-24.9,4.0
176,Bogotá,-4.711,-74.0721,Agro,Pequeña,En riesgo,2001,23,15,31140.2,6.6,-15.8,2.3
177,Bogotá,-4.711,-74.0721,Educación,Pequeña,Activa,1972,52,11,53827.98,6.9,18.8,7.0
178,Rio de Janeiro,-22.9068,-43.1729,Finanzas,Pequeña,Activa,1972,52,14,51962.24,4.0,15.5,7.4
179,Medellín,6.2518,-75.5636,Manufactura,Pequeña,Activa,1997,27,11,83205.18,6.5,4.6,7.3
180,Lima,-12.0464,-77.0428,Finanzas,Mediana,En crecimiento,2013,11,48,347010.36,2.4,23.2,7.1
181,Bucaramanga,7.088,-73.0836,Agro,Grande,Inactiva,1984,40,466,1218218.05,0.1,-22.2,3.0
182,Barranquilla,11.0719,-74.7819,Turismo,Pequeña,En crecimiento,2010,14,14,61402.32,7.1,22.8,6.9
183,Quito,-0.1807,-78.4678,Educación,Multinacional,Activa,1992,32,3194,4779541.07,12.4,18.7,5.9
184,Guayaquil,-2.19,-79.897,Energía,Grande,En riesgo,2009,15,549,1471665.52,10.5,-10.0,5.4
185,Bucaramanga,7.088,-73.0836,Turismo,Pequeña,En crecimiento,1980,44,24,58657.98,3.8,28.8,7.9
186,Cartagena,10.423,-75.5434,Turismo,Grande,Activa,2017,7,421,1600192.46,6.8,9.1,7.0
187,Montevideo,-34.9033,-56.188,Finanzas,Mediana,En crecimiento,2001,23,132,369191.33,5.5,9.8,7.2
188,Medellín,6.2518,-75.5636,Finanzas,Mediana,En crecimiento,2023,1,54,217404.46,3.7,14.8,7.6
189,Bucaramanga,7.088,-73.0836,Energía,Pequeña,En riesgo,2005,19,21,88946.82,10.1,-17.9,4.7
190,Quito,-0.1807,-78.4678,Tecnología,Mediana,Activa,2002,22,96,746105.45,22.2,6.5,9.3
191,Panamá,8.9936,-79.5193,Educación,Pequeña,Activa,1993,31,16,22436.41,8.2,20.5,8.0
192,Panamá,8.9936,-79.5193,Tecnología,Mediana,En crecimiento,2008,16,95,163364.43,16.0,24.2,7.0
193,Bogotá,-4.711,-74.0721,Energía,Mediana,Activa,2003,21,54,306532.56,10.4,7.4,6.4
194,Manizales,5.0689,-75.5175,Educación,Mediana,Estable,1997,27,49,263883.31,10.0,9.4,5.9
195,Bucaramanga,7.088,-73.0836,Retail,Mediana,En crecimiento,2006,18,158,774322.67,3.6,13.3,7.6
196,Panamá,8.9936,-79.5193,Turismo,Grande,En crecimiento,1976,48,373,1674236.55,4.7,19.1,6.8
197,Cali,3.4516,-76.6319,Agro,Pequeña,Inactiva,1973,51,13,100313.03,1.5,-28.8,3.8
198,Montevideo,-34.9033,-56.188,Telecomunicaciones,Pequeña,Estable,2006,18,9,17947.68,14.3,4.4,3.7
199,Barranquilla,11.0719,-74.7819,Agro,Grande,Activa,1970,54,221,2253647.13,4.1,13.4,7.8
200,Rio de Janeiro,-22.9068,-43.1729,Retail,Pequeña,Estable,1970,54,14,34962.1,0.1,4.8,7.2
201,Cali,3.4516,-76.6319,Finanzas,Pequeña,En riesgo,2016,8,13,34683.07,7.3,-9.1,6.0
202,Rio de Janeiro,-22.9068,-43.1729,Turismo,Pequeña,Estable,1989,35,15,44161.09,1.6,-0.2,8.0
203,Montevideo,-34.9033,-56.188,Salud,Pequeña,Activa,1988,36,15,24525.94,10.3,9.9,6.4
204,Santa Marta,11.2469,-74.0515,Salud,Multinacional,Inactiva,1998,26,6767,9982507.43,12.0,-30.0,4.1
205,Montevideo,-34.9033,-56.188,Turismo,Mediana,En crecimiento,1979,45,69,330015.61,2.5,26.0,7.6
206,Manizales,5.0689,-75.5175,Turismo,Multinacional,Activa,1987,37,4703,9138878.41,4.7,5.0,4.9
207,Bogotá,-4.711,-74.0721,Educación,Mediana,Activa,1997,27,154,467452.62,5.4,1.3,7.4
208,Pereira,4.8133,-75.6958,Turismo,Mediana,Activa,2004,20,108,639811.43,2.3,8.2,6.5
209,Santa Marta,11.2469,-74.0515,Retail,Pequeña,En riesgo,2012,12,13,41686.09,0.1,-23.5,4.5
210,São Paulo,-23.5505,-46.6333,Turismo,Mediana,Activa,2016,8,46,380869.88,5.9,16.8,9.2
211,Pereira,4.8133,-75.6958,Energía,Pequeña,Activa,2000,24,18,57888.41,15.2,12.8,7.5
212,Bogotá,-4.711,-74.0721,Agro,Grande,En riesgo,1996,28,601,1811712.19,8.8,-10.0,3.3
213,Quito,-0.1807,-78.4678,Telecomunicaciones,Grande,En crecimiento,1980,44,804,1825335.75,14.9,12.3,9.0
214,São Paulo,-23.5505,-46.6333,Manufactura,Pequeña,Activa,2018,6,10,110749.92,8.6,3.8,7.6
215,Popayán,2.4419,-76.6109,Agro,Multinacional,Activa,2018,6,2267,6357295.86,0.1,8.2,5.8
216,Cali,3.4516,-76.6319,Telecomunicaciones,Grande,Activa,2007,17,274,699490.66,12.5,6.4,5.3
217,Santa Marta,11.2469,-74.0515,Telecomunicaciones,Mediana,Activa,1974,50,62,211631.3,10.5,-2.1,6.0
218,Panamá,8.9936,-79.5193,Tecnología,Pequeña,Estable,1977,47,19,73014.38,20.6,-5.9,7.9
219,Panamá,8.9936,-79.5193,Finanzas,Mediana,Activa,2003,21,60,303519.92,0.1,6.3,6.8
220,Montevideo,-34.9033,-56.188,Educación,Mediana,Activa,2017,7,57,237456.11,8.6,0.3,7.3
221,Guayaquil,-2.19,-79.897,Tecnología,Pequeña,En riesgo,2021,3,20,29188.49,17.4,-3.8,2.9
222,Medellín,6.2518,-75.5636,Manufactura,Pequeña,Estable,1981,43,17,55849.81,9.4,5.0,7.9
223,Bogotá,-4.711,-74.0721,Energía,Grande,En crecimiento,2007,17,460,2070351.18,14.6,17.2,5.4
224,Panamá,8.9936,-79.5193,Agro,Pequeña,En crecimiento,1970,54,11,58262.52,1.2,29.0,7.0
225,Lima,-12.0464,-77.0428,Tecnología,Mediana,En crecimiento,2000,24,134,264308.59,15.3,27.8,8.3
226,Cartagena,10.423,-75.5434,Retail,Multinacional,En crecimiento,1973,51,2514,8608604.13,2.7,23.7,6.5
227,Cartagena,10.423,-75.5434,Manufactura,Grande,En crecimiento,2018,6,1036,1609440.48,11.2,21.8,8.5
228,Manizales,5.0689,-75.5175,Energía,Pequeña,En crecimiento,2014,10,15,54974.61,10.2,20.2,6.8
229,Manizales,5.0689,-75.5175,Retail,Grande,Inactiva,2019,5,157,829703.09,0.1,-28.2,1.7
230,Cali,3.4516,-76.6319,Manufactura,Pequeña,Activa,1974,50,5,55184.72,4.2,-0.0,8.7
231,Rio de Janeiro,-22.9068,-43.1729,Educación,Pequeña,En riesgo,1999,25,19,40113.97,8.6,-2.8,4.7
232,Panamá,8.9936,-79.5193,Agro,Mediana,Activa,1993,31,134,504764.4,4.7,4.9,7.8
