ingreso_mensual_usd,antiguedad_laboral_anios,deuda_actual_usd,edad,puntaje_credito,num_tarjetas_credito,historial_pagos,tipo_empleo,tiene_casa_propia,tiene_vehiculo,prestamo_aprobado
7631.98,20,1970.24,52,758,6,Regular,Formal,0,1,1
7752.55,14,5982.54,21,822,2,Regular,Formal,1,1,1
6620.46,15,13839.35,22,704,0,Bueno,Formal,0,1,1
2993.22,4,7080.91,18,513,3,Regular,Formal,0,1,0
1503.24,19,201.04,21,802,6,Regular,Temporal,0,0,0
5726.48,5,4241.19,29,747,3,Excelente,Temporal,1,1,1
3969.1,18,668.92,44,557,1,Bueno,Independiente,1,1,1
1678.68,24,544.31,59,420,4,Excelente,Formal,1,0,1
4365.27,4,4135.8,40,353,1,Excelente,Formal,0,1,1
1047.6,2,4134.19,42,630,1,Regular,Independiente,0,1,0
7347.11,0,11806.9,38,540,4,Malo,Formal,0,1,1
2663.22,5,14622.52,69,829,5,Malo,Temporal,0,0,1
5570.16,14,5568.11,41,782,0,Regular,Independiente,0,1,1
3044.32,1,6433.3,42,486,3,Excelente,Formal,1,1,1
4544.49,2,12671.84,62,561,1,Excelente,Temporal,0,1,1
4736.31,16,4022.09,63,663,4,Regular,Temporal,1,0,1
2130.95,24,2345.73,49,790,2,Bueno,Formal,0,0,1
7781.01,23,12796.34,49,730,1,Regular,Formal,1,0,1
6380.96,11,697.51,22,538,3,Regular,Formal,0,1,1
7564.39,17,9295.49,53,603,0,Regular,Formal,0,1,1
7242.76,14,8429.89,63,597,1,Regular,Formal,0,1,1
5104.88,11,5188.81,59,375,1,Excelente,Formal,0,1,1
7437.49,15,4727.84,66,632,5,Regular,Temporal,0,1,1
1437.15,7,11577.87,59,773,7,Malo,Formal,0,1,0
2211.08,13,1296.37,56,582,4,Bueno,Formal,0,1,1
1125.64,24,3551.76,33,371,2,Regular,Independiente,1,0,0
3142.38,16,10986.73,50,562,2,Bueno,Formal,1,1,1
3598.48,20,8224.81,66,311,6,Malo,Temporal,1,0,0
2753.71,7,1919.82,38,440,0,Excelente,Formal,0,1,1
6766.91,14,13232.03,26,316,6,Bueno,Formal,1,1,1
3368.62,13,5901.72,23,362,3,Excelente,Formal,0,1,1
2822.73,17,12418.03,68,552,0,Regular,Independiente,0,1,0
4707.41,19,11815.7,62,764,1,Excelente,Formal,0,1,1
1814.65,6,9366.38,52,675,7,Excelente,Independiente,0,1,1
6575.82,2,7417.22,56,819,1,Bueno,Formal,0,0,1
1336.76,11,14693.26,39,389,2,Malo,Formal,0,0,0
7905.59,20,2174.48,58,474,3,Excelente,Formal,0,1,1
6360.16,23,10877.34,22,375,4,Excelente,Temporal,1,0,1
2230.75,2,2867.86,59,699,3,Regular,Temporal,1,0,1
839.76,19,5073.95,40,370,1,Bueno,Formal,1,0,0
6671.32,13,4630.48,34,479,4,Malo,Formal,1,0,1
5889.37,14,14205.54,29,423,3,Excelente,Formal,0,1,1
6048.85,24,14510.34,40,680,7,Regular,Formal,1,1,1
6353.15,13,2745.23,33,592,7,Excelente,Formal,1,1,1
1333.12,6,330.53,20,494,3,Excelente,Temporal,0,1,1
3380.95,16,10800.12,47,527,4,Regular,Temporal,0,1,1
1634.26,11,6269.85,39,730,1,Bueno,Formal,1,0,1
7014.34,19,1332.6,26,735,3,Regular,Formal,0,0,1
5287.75,3,10256.31,46,760,4,Bueno,Temporal,1,0,1
3182.47,8,8176.58,64,320,5,Bueno,Independiente,0,0,1
1257.62,5,14707.75,54,363,7,Bueno,Formal,0,0,0
3039.07,15,3411.14,40,464,5,Malo,Formal,0,0,1
3141.32,24,6059.67,30,326,1,Bueno,Formal,0,1,1
6053.16,21,8138.19,49,610,4,Bueno,Formal,1,1,1
5390.41,21,11875.5,63,584,5,Bueno,Formal,1,1,1
7187.93,20,8232.58,69,580,4,Bueno,Formal,0,0,1
4199.95,20,9193.5,64,463,3,Bueno,Independiente,0,1,1
1661.08,1,3392.21,65,523,1,Malo,Formal,1,0,0
5935.36,23,12703.78,40,445,5,Bueno,Formal,1,1,1
6277.65,7,6429.46,62,329,6,Malo,Formal,0,1,1
4841.2,10,2114.39,34,344,3,Excelente,Independiente,0,0,1
6350.96,12,9962.82,57,770,7,Regular,Temporal,1,1,1
4355.33,16,3241.36,38,333,6,Malo,Formal,1,1,1
4563.68,7,1463.44,19,726,6,Excelente,Formal,0,1,1
3878.3,20,12929.8,54,520,0,Malo,Temporal,0,1,1
983.02,17,6902.43,23,833,0,Bueno,Formal,1,0,1
1576.82,17,11239.26,61,666,1,Malo,Formal,1,1,0
1026.29,13,4358.81,35,849,5,Regular,Formal,0,0,0
5382.15,14,11804.55,47,415,5,Bueno,Formal,0,1,1
3063.36,5,1679.04,39,538,5,Excelente,Formal,1,0,1
4461.71,10,5339.6,50,634,4,Bueno,Temporal,0,1,1
7334.48,12,14670.93,47,740,3,Excelente,Independiente,0,0,1
2594.9,24,11909.85,34,447,5,Excelente,Formal,0,0,1
3754.76,0,7458.84,60,308,3,Excelente,Temporal,0,1,0
6239.97,5,5096.66,49,587,1,Bueno,Formal,1,0,1
2447.35,8,13082.04,59,687,6,Regular,Formal,0,0,1
1354.26,7,8172.72,68,349,5,Excelente,Formal,1,1,1
2886.21,10,11376.38,31,816,1,Excelente,Independiente,0,1,1
1960.79,21,11311.62,27,577,5,Regular,Formal,0,0,0
7493.82,18,269.19,64,599,0,Excelente,Formal,0,0,1
6618.47,23,1893.81,68,434,2,Excelente,Independiente,1,1,1
5360.51,8,9894.44,53,446,1,Excelente,Independiente,1,1,1
7074.52,16,2424.3,51,789,5,Malo,Independiente,0,0,1
6586.44,11,3832.4,26,777,7,Regular,Formal,1,0,1
2143.3,24,14199.57,59,458,2,Bueno,Formal,1,0,1
7226.42,13,8402.73,45,683,1,Regular,Formal,1,1,1
4683.26,14,11260.94,28,462,7,Bueno,Formal,0,0,1
6613.57,15,8369.71,31,740,7,Regular,Temporal,1,1,1
7251.86,21,8287.7,56,488,4,Regular,Formal,0,1,1
3089.63,21,1412.28,64,714,7,Regular,Formal,0,0,1
1592.37,19,5154.95,36,638,5,Bueno,Independiente,1,0,0
2441.13,0,4236.46,32,480,4,Excelente,Formal,0,1,1
3875.18,9,5860.93,45,587,0,Bueno,Formal,0,1,1
6689.71,7,11975.16,41,486,5,Malo,Independiente,0,0,1
6997.26,17,5578.99,25,437,6,Bueno,Temporal,1,1,1
850.06,0,6775.45,60,429,7,Regular,Independiente,1,0,0
4477.38,1,5960.72,26,493,0,Malo,Formal,0,0,1
3805.36,0,1401.12,64,615,2,Excelente,Formal,1,1,1
2399.18,0,6616.08,50,443,1,Regular,Independiente,0,0,0
1663.03,8,2934.14,50,315,7,Regular,Formal,0,0,0
3230.83,12,2800.85,36,601,3,Malo,Formal,1,0,1
7588.95,0,1410.54,20,722,0,Malo,Temporal,0,0,1
3127.06,12,5350.06,27,544,3,Regular,Formal,0,0,1
4535.29,19,11362.23,57,406,7,Excelente,Independiente,0,1,1
5861.74,21,4146.63,64,387,3,Regular,Formal,1,1,1
3418.13,6,4685.24,59,428,7,Excelente,Formal,0,0,1
7796.83,1,9640.12,18,640,1,Regular,Formal,1,1,1
7729.62,5,2937.61,46,303,2,Malo,Independiente,1,1,1
2612.83,6,13454.37,67,626,1,Bueno,Formal,0,0,1
4380.19,13,7802.86,51,709,5,Regular,Formal,1,0,1
2966.32,17,6714.04,68,605,0,Bueno,Independiente,0,1,1
2850.85,14,8367.3,30,524,3,Bueno,Independiente,0,0,0
1065.59,1,2490.51,18,647,1,Bueno,Temporal,1,0,0
5188.86,9,9202.1,51,620,7,Regular,Formal,1,1,1
4419.29,22,5446.51,46,480,1,Malo,Formal,0,0,1
1170.65,11,13457.8,65,685,1,Malo,Temporal,0,1,0
2806.25,16,2532.81,64,407,0,Excelente,Independiente,0,1,1
7339.51,7,7605.77,30,830,2,Malo,Formal,0,1,1
2524.85,10,8971.69,65,709,6,Regular,Formal,0,1,1
1843.24,2,500.75,66,595,1,Bueno,Independiente,0,1,1
4324.06,5,5455.4,46,470,0,Excelente,Formal,1,0,1
7896.68,8,10989.53,56,630,3,Bueno,Independiente,0,0,1
2542.8,5,12305.66,41,792,7,Malo,Formal,0,0,1
5639.38,8,4697.43,43,494,5,Regular,Formal,1,0,1
6283.66,6,11978.9,34,311,6,Regular,Independiente,1,1,1
2510.99,8,14516.34,24,494,4,Bueno,Formal,0,1,0
6043.16,17,12853.11,30,789,6,Regular,Formal,0,0,1
3448.04,11,1764.66,22,481,7,Excelente,Formal,1,1,1
5352.6,7,11095.95,43,615,6,Bueno,Formal,0,1,1
5361.41,7,4795.0,66,329,7,Regular,Independiente,0,0,0
4657.58,17,14826.24,20,395,0,Excelente,Independiente,1,1,1
1450.09,19,7280.38,24,680,4,Regular,Independiente,0,0,0
6814.18,14,1836.51,66,743,1,Excelente,Formal,0,1,1
3109.62,6,10877.78,56,597,1,Regular,Formal,0,1,1
2142.93,10,4845.17,18,660,6,Bueno,Formal,0,1,1
1093.58,19,14956.17,66,673,0,Bueno,Temporal,0,0,0
5054.43,15,14696.74,34,602,4,Excelente,Independiente,1,1,1
5678.46,3,9842.01,60,720,1,Excelente,Independiente,0,1,1
919.43,5,1947.4,42,545,3,Malo,Formal,0,0,0
4487.07,21,10302.91,20,536,2,Bueno,Formal,0,0,1
2430.77,2,1395.46,32,833,2,Regular,Formal,1,1,1
5445.24,8,440.46,46,484,1,Malo,Formal,0,1,1
2055.44,9,12344.38,60,767,4,Excelente,Formal,0,1,1
5774.75,13,3146.29,49,662,5,Bueno,Temporal,1,0,1
3584.49,10,5685.41,43,582,1,Regular,Formal,0,0,1
7544.46,17,14601.86,33,635,5,Malo,Formal,0,1,1
1790.15,21,5052.61,42,461,5,Malo,Formal,0,0,0
3255.68,11,4447.35,45,459,7,Bueno,Temporal,0,1,1
1617.01,22,13773.12,26,773,7,Regular,Formal,0,1,0
7457.79,11,1661.23,18,621,4,Excelente,Independiente,1,1,1
7116.84,12,11393.74,46,311,5,Malo,Temporal,0,1,1
2657.18,24,14820.98,39,723,3,Malo,Formal,0,1,1
5551.89,12,13519.44,33,372,4,Excelente,Independiente,0,1,1
6684.0,18,9775.02,58,500,1,Bueno,Formal,0,0,1
4797.45,18,4710.91,68,821,6,Excelente,Formal,0,1,1
4613.48,22,3814.83,61,804,3,Bueno,Independiente,1,0,1
2541.34,13,12288.83,68,338,0,Regular,Independiente,0,1,0
1470.34,3,13197.33,58,359,2,Bueno,Formal,1,1,0
7259.95,12,7881.52,24,620,1,Excelente,Formal,0,1,1
7283.01,7,3665.1,31,734,1,Bueno,Formal,0,1,1
5358.33,22,1694.15,46,707,1,Malo,Formal,0,1,1
3241.01,20,1307.69,36,685,3,Regular,Formal,0,1,1
3314.31,22,10786.16,36,377,0,Bueno,Formal,0,1,1
6026.88,18,6301.78,19,493,6,Excelente,Formal,0,1,1
7259.19,11,13580.4,58,584,4,Malo,Independiente,1,0,1
7187.02,17,11095.07,62,826,7,Regular,Formal,0,0,1
6415.1,5,2868.91,32,823,0,Bueno,Formal,0,1,1
5422.63,17,9206.66,20,455,3,Excelente,Formal,0,1,1
1405.81,18,6532.58,28,639,1,Excelente,Temporal,0,1,1
1963.73,21,8658.75,63,424,2,Excelente,Formal,0,0,1
7269.59,4,11071.04,47,579,1,Bueno,Formal,0,1,1
5166.29,23,12092.94,57,427,4,Malo,Formal,0,1,1
866.22,8,12656.06,35,613,5,Bueno,Independiente,1,1,0
1530.6,2,3809.62,68,631,2,Regular,Formal,1,0,0
5577.21,9,466.73,65,449,1,Bueno,Independiente,0,1,1
836.44,18,11089.42,19,753,6,Regular,Temporal,0,0,0
1957.82,2,1595.16,49,335,2,Regular,Independiente,1,1,0
4750.88,21,4723.79,25,719,5,Excelente,Independiente,0,0,1
5781.65,14,57.26,39,321,7,Bueno,Formal,0,0,1
5494.12,0,10225.04,23,505,0,Regular,Formal,0,1,1
2414.74,6,2506.98,29,655,3,Excelente,Temporal,0,0,1
5927.69,11,9829.24,64,739,7,Bueno,Formal,0,1,1
2508.19,16,14876.14,57,395,1,Bueno,Formal,0,0,0
3142.88,20,1090.06,53,463,4,Malo,Independiente,0,0,0
6174.74,23,1156.17,32,447,0,Bueno,Formal,0,1,1
5477.36,19,5105.7,45,829,7,Regular,Formal,1,0,1
6914.41,4,12995.8,69,593,1,Bueno,Formal,0,1,1
5534.81,3,3232.95,66,494,0,Regular,Formal,0,1,1
4891.82,11,5405.67,62,779,7,Bueno,Independiente,0,1,1
1474.46,19,1027.58,35,422,4,Malo,Formal,1,0,0
3447.55,23,11447.33,19,699,1,Bueno,Formal,1,1,1
2709.46,17,6124.6,30,751,5,Regular,Formal,1,1,1
2556.73,16,11388.73,62,403,5,Regular,Independiente,0,0,0
7805.68,18,13554.12,32,761,4,Bueno,Independiente,1,1,1
3630.3,8,3491.45,37,695,2,Excelente,Formal,1,1,1
7222.74,3,12110.94,46,636,4,Excelente,Independiente,0,1,1
5344.2,20,886.41,59,441,2,Excelente,Formal,0,1,1
6522.64,1,13482.71,46,616,1,Malo,Temporal,0,1,1
4418.99,3,9761.53,20,826,7,Excelente,Formal,1,1,1
4953.71,1,13113.4,36,700,2,Excelente,Independiente,0,0,1
4346.13,14,2.83,20,609,1,Regular,Formal,0,0,1
2205.75,1,2536.22,31,794,1,Bueno,Formal,1,1,1
6001.66,3,5846.39,57,408,6,Bueno,Formal,1,1,1
2821.56,5,5692.54,21,671,3,Excelente,Temporal,1,1,1
975.07,6,3400.96,69,505,1,Malo,Formal,1,0,0
5447.4,9,5724.18,28,342,2,Malo,Temporal,0,1,1
2075.2,18,1932.73,48,544,3,Malo,Formal,1,1,1
7571.3,18,6191.42,60,586,3,Bueno,Formal,0,0,1
7668.29,21,12035.31,49,654,1,Regular,Formal,1,1,1
7387.02,11,7186.05,44,775,4,Excelente,Independiente,0,1,1
3465.14,2,270.0,47,382,4,Excelente,Formal,1,0,1
911.29,12,6321.66,60,409,5,Excelente,Temporal,1,0,0
7483.89,17,407.63,19,489,3,Bueno,Temporal,1,1,1
3882.93,7,14493.65,66,550,1,Bueno,Temporal,0,0,1
7759.91,20,1911.81,26,590,6,Bueno,Formal,0,1,1
7738.06,14,10615.32,45,500,4,Excelente,Independiente,1,0,1
6941.67,0,14591.64,48,625,6,Bueno,Independiente,0,1,1
2920.03,2,12390.59,51,810,1,Regular,Formal,1,0,1
3572.7,7,10489.73,32,708,1,Bueno,Independiente,0,0,1
6928.18,3,12591.91,65,807,7,Regular,Formal,1,0,1
3081.84,15,14726.98,42,371,3,Excelente,Formal,0,0,1
2020.35,22,9320.17,53,546,7,Regular,Formal,1,1,0
4808.97,9,8387.77,25,643,6,Bueno,Formal,1,1,1
7540.31,11,9423.57,26,353,7,Excelente,Formal,0,1,1
5811.41,13,7990.14,54,827,5,Excelente,Formal,0,0,1
4904.44,13,9526.34,65,831,3,Regular,Independiente,0,0,1
1499.67,1,6747.63,62,492,0,Regular,Formal,0,1,0
5228.05,22,3276.65,56,357,7,Bueno,Formal,0,0,1
7928.39,4,1803.71,49,736,6,Bueno,Formal,1,0,1
1808.6,4,1025.11,69,410,4,Malo,Formal,0,0,0
4531.97,5,3949.74,34,428,4,Regular,Independiente,0,0,0
7117.09,12,691.85,52,625,4,Bueno,Formal,0,1,1
6133.53,8,8507.56,54,307,2,Bueno,Independiente,0,1,1
5818.51,21,4257.43,36,328,1,Excelente,Formal,0,1,1
5857.89,14,12368.02,61,411,3,Regular,Independiente,1,1,1
3388.34,13,1113.61,46,430,4,Bueno,Formal,1,0,1
2913.86,23,3395.27,24,487,0,Malo,Formal,0,0,0
6627.4,6,10953.69,45,774,4,Bueno,Independiente,0,0,1
6632.82,24,8982.12,26,663,5,Bueno,Formal,1,0,1
7042.92,19,967.37,45,503,1,Bueno,Independiente,0,1,1
7375.33,1,13158.59,23,511,6,Malo,Independiente,0,1,1
4481.67,6,13158.93,46,575,1,Regular,Formal,0,1,1
4410.92,5,4956.12,34,372,7,Bueno,Formal,0,1,1
6547.73,16,5106.09,33,542,6,Regular,Formal,1,1,1
5479.74,24,14835.43,40,401,6,Bueno,Temporal,1,1,1
5854.16,24,9392.64,48,470,7,Bueno,Independiente,0,1,1
6529.71,1,7969.75,20,487,3,Excelente,Formal,0,1,1
7208.04,2,12572.28,38,740,7,Bueno,Formal,1,0,1
3233.57,4,4279.36,43,385,2,Excelente,Formal,1,1,1
3504.2,4,6437.74,53,775,6,Malo,Independiente,1,1,1
1476.67,0,4016.65,59,351,6,Bueno,Formal,1,1,0
4963.62,7,11837.41,54,410,7,Malo,Formal,0,0,1
1058.78,11,8600.24,39,342,3,Bueno,Temporal,1,1,0
4152.31,23,9882.38,59,510,4,Regular,Formal,1,1,1
4707.04,3,3784.61,29,499,5,Bueno,Formal,0,0,1
2863.1,12,3303.38,59,325,0,Excelente,Temporal,1,0,1
5054.0,22,7325.62,30,598,3,Bueno,Independiente,0,0,1
1019.6,14,11063.49,28,376,2,Excelente,Formal,0,1,0
1068.91,10,7878.6,33,436,3,Regular,Formal,0,1,0
6722.72,9,489.69,25,319,1,Bueno,Formal,0,1,1
3393.37,2,13028.27,57,739,4,Regular,Formal,0,0,1
1714.84,21,970.3,57,510,4,Excelente,Temporal,0,1,1
4560.15,13,14337.37,62,734,6,Excelente,Formal,0,1,1
6343.95,15,377.13,19,506,4,Bueno,Independiente,0,1,1
2353.91,9,10416.76,47,738,4,Malo,Temporal,0,1,1
5284.81,9,1233.11,47,341,7,Regular,Formal,0,1,1
1414.5,11,13660.15,29,710,4,Bueno,Formal,1,0,0
1172.11,8,6966.5,27,822,4,Bueno,Formal,0,0,0
4625.75,0,2062.86,61,726,0,Excelente,Temporal,0,1,1
4692.57,4,5112.24,28,574,2,Malo,Independiente,1,1,1
5389.5,19,2472.37,32,747,6,Regular,Formal,1,0,1
6027.86,7,2558.73,33,668,7,Bueno,Independiente,1,1,1
7826.13,10,14221.62,34,519,4,Bueno,Formal,0,1,1
4517.36,11,6678.69,43,531,6,Excelente,Temporal,0,1,1
3125.29,0,11832.03,19,627,2,Malo,Formal,1,0,1
6525.34,24,9594.08,67,742,7,Excelente,Formal,0,0,1
2749.99,21,10146.4,29,351,5,Regular,Temporal,0,0,0
3960.59,19,1975.4,68,675,4,Excelente,Formal,0,1,1
1364.89,24,3512.77,43,562,6,Regular,Formal,1,1,0
982.53,10,11801.26,40,566,3,Regular,Formal,0,0,0
7731.07,4,14561.49,35,658,7,Regular,Formal,1,1,1
6819.06,14,3940.13,49,616,7,Regular,Formal,1,0,1
5811.01,4,4073.53,66,623,6,Malo,Temporal,0,0,1
3744.46,11,7093.46,55,720,4,Excelente,Formal,1,1,1
2047.72,4,14757.6,64,345,1,Bueno,Formal,1,0,0
1926.35,16,4034.38,20,568,0,Excelente,Independiente,1,1,1
2601.75,16,6104.58,55,680,3,Malo,Formal,0,0,1
4754.43,23,13372.2,20,417,3,Bueno,Formal,1,1,1
5945.09,11,43.82,47,415,1,Regular,Independiente,0,1,1
5553.42,23,596.49,18,559,4,Regular,Temporal,1,0,1
2815.52,14,9061.08,47,374,7,Excelente,Independiente,0,0,1
7675.03,14,13610.7,62,779,7,Excelente,Independiente,0,1,1
6112.86,5,3582.85,49,604,0,Bueno,Formal,1,0,1
4791.35,11,7044.63,45,306,3,Bueno,Temporal,1,1,1
5204.39,19,6756.98,38,665,0,Excelente,Formal,0,1,1
3821.12,17,7094.57,63,822,3,Excelente,Independiente,0,1,1
2583.66,13,9337.8,30,647,4,Malo,Formal,0,1,1
3363.0,1,7046.16,44,737,5,Malo,Temporal,1,1,1
6256.49,8,6712.02,53,514,3,Bueno,Independiente,1,1,1
903.63,4,7114.33,24,728,5,Bueno,Independiente,1,1,0
1635.72,19,8863.01,39,797,3,Excelente,Formal,0,1,1
1131.22,0,8055.11,27,839,7,Regular,Formal,0,1,0
1093.25,22,12812.04,56,666,2,Regular,Independiente,1,0,0
6959.32,2,742.45,32,612,4,Excelente,Independiente,1,1,1
5866.34,5,12499.76,32,837,1,Excelente,Formal,0,0,1
4214.05,4,12658.87,21,353,5,Regular,Temporal,1,0,0
1504.41,20,4273.62,49,840,1,Regular,Temporal,0,0,0
4339.63,4,6942.78,40,766,4,Excelente,Formal,0,0,1
4209.0,0,6578.08,23,463,6,Regular,Independiente,0,0,0
2047.05,16,3277.65,41,633,1,Bueno,Formal,0,1,1
3923.73,18,5951.95,37,846,4,Bueno,Formal,0,1,1
3669.23,13,665.82,54,647,7,Regular,Formal,0,0,1
5234.12,11,4167.33,37,572,1,Regular,Formal,0,0,1
5372.67,9,12250.23,29,713,5,Bueno,Independiente,1,0,1
1126.19,19,4268.43,50,799,2,Malo,Formal,0,1,1
3497.21,20,12273.1,45,392,1,Bueno,Independiente,0,0,1
5306.19,17,7973.99,25,378,5,Regular,Independiente,0,1,1
4422.58,23,13197.94,18,516,3,Bueno,Independiente,0,1,1
6966.73,10,8621.69,54,657,4,Malo,Formal,1,1,1
5542.59,1,445.02,39,806,0,Malo,Temporal,0,0,1
1973.13,24,10131.3,23,480,6,Excelente,Formal,1,0,1
1308.09,17,672.8,38,545,7,Malo,Formal,1,1,0
5425.42,24,6758.96,49,543,0,Regular,Formal,0,0,1
990.88,6,13941.4,52,805,7,Regular,Formal,0,1,0
5017.58,23,2478.06,32,721,4,Excelente,Temporal,0,1,1
7569.66,14,5848.09,22,619,7,Regular,Formal,0,1,1
4943.41,10,10947.9,63,386,2,Malo,Independiente,1,1,1
3594.82,17,13233.88,67,516,1,Bueno,Formal,0,1,1
5431.68,22,10064.15,65,789,2,Malo,Formal,0,1,1
4099.42,11,3872.6,23,818,0,Excelente,Temporal,0,0,1
4728.44,5,10119.12,42,577,6,Excelente,Independiente,0,0,1
7578.55,19,4450.91,63,468,5,Bueno,Formal,0,1,1
3579.94,22,10776.44,57,629,6,Bueno,Formal,0,1,1
7720.57,12,14310.5,46,740,4,Regular,Formal,0,1,1
7318.52,19,10820.9,24,690,4,Excelente,Formal,0,1,1
2209.7,15,12943.21,57,795,2,Malo,Independiente,1,1,0
1299.4,17,31.56,30,680,5,Excelente,Independiente,1,1,1
1525.6,9,10763.58,55,605,2,Excelente,Formal,0,0,0
931.2,22,12443.81,35,812,1,Excelente,Temporal,0,0,0
1479.99,7,608.38,19,487,3,Bueno,Formal,1,1,1
5717.65,17,13073.97,25,815,5,Malo,Formal,0,1,1
1312.56,20,3850.41,28,726,3,Regular,Formal,0,1,0
3096.62,0,9979.38,50,801,6,Regular,Independiente,0,0,0
6883.1,22,12005.32,55,559,1,Excelente,Formal,1,1,1
967.56,7,9939.97,65,812,7,Bueno,Formal,0,1,0
6664.17,5,1384.27,44,370,7,Bueno,Formal,1,0,1
2829.35,4,8944.82,37,777,3,Bueno,Formal,1,1,1
1650.79,14,8243.75,29,477,0,Excelente,Independiente,1,1,0
5816.51,21,13504.82,60,756,6,Regular,Formal,1,1,1
5328.39,14,6063.6,48,488,3,Bueno,Formal,0,1,1
7117.8,1,4816.22,44,590,1,Regular,Independiente,0,1,1
6092.51,0,11247.76,49,819,3,Bueno,Temporal,1,1,1
6585.06,22,6190.13,27,591,4,Excelente,Temporal,1,1,1
2830.65,22,9691.44,20,582,2,Regular,Formal,0,1,0
2077.56,10,9696.75,62,843,0,Excelente,Formal,1,0,1
6204.43,9,13320.59,44,676,4,Malo,Formal,0,1,1
6609.21,17,8980.39,52,455,4,Regular,Formal,0,1,1
7931.64,17,7532.3,48,807,1,Excelente,Temporal,0,0,1
3770.85,16,2083.07,32,712,2,Malo,Formal,0,0,1
3478.53,7,1736.06,33,827,2,Bueno,Formal,0,0,1
6390.17,14,2314.82,30,654,5,Excelente,Formal,0,1,1
3253.79,7,2577.73,66,486,6,Regular,Formal,0,1,0
7501.45,16,9568.16,52,330,0,Bueno,Independiente,0,0,1
6980.57,11,11114.72,69,559,6,Regular,Formal,0,0,1
3888.76,7,7949.87,28,720,1,Regular,Formal,1,1,1
6206.27,24,12435.27,38,828,0,Malo,Formal,0,0,1
6232.71,13,14868.95,68,603,5,Bueno,Formal,0,1,1
1542.49,3,12300.19,28,338,3,Bueno,Formal,0,0,0
7298.38,0,10423.24,47,788,4,Regular,Independiente,0,0,1
4437.82,0,7987.39,65,841,0,Excelente,Formal,1,0,1
6750.49,18,6732.8,52,577,6,Bueno,Independiente,0,0,1
3104.36,15,1265.89,39,502,4,Bueno,Temporal,1,0,1
7247.77,13,5990.53,55,365,1,Excelente,Temporal,0,1,1
3602.25,20,13652.02,48,407,6,Bueno,Temporal,0,1,1
878.03,15,12120.34,31,567,3,Malo,Formal,0,1,0
7318.75,4,3240.77,41,521,1,Malo,Formal,0,1,1
1457.26,8,6999.12,67,829,7,Excelente,Formal,0,0,1
3099.06,1,12250.85,66,389,3,Excelente,Temporal,0,1,1
7640.45,17,1010.77,49,554,3,Bueno,Temporal,0,1,1
7644.37,5,5810.89,53,754,4,Malo,Temporal,0,0,1
4928.75,8,12777.62,49,552,1,Excelente,Formal,1,0,1
5349.23,0,6058.47,32,556,1,Regular,Temporal,0,1,1
4028.81,8,1164.22,60,682,0,Excelente,Formal,0,1,1
2911.12,24,8138.02,52,741,6,Regular,Formal,0,1,1
3166.38,15,12926.14,20,389,7,Bueno,Formal,0,0,0
5642.13,12,8854.28,33,689,1,Regular,Formal,0,1,1
